match_id,kills,deaths,assists,totalGold,ChampionName,lane,visionScore,gameDuration,win,KDA,GoldPerMin,VisionPerMin,Lane,champ,PredictedRank
EUW1_7630977280,10,4,8,14674,Malphite,TOP,18,1810,1,4.5,8.10718232044199,0.009944751381215469,0,77,Platinum
EUW1_7630925641,8,5,4,11095,Vladimir,MIDDLE,15,1518,1,2.4,7.308959156785244,0.009881422924901186,2,153,Master
EUW1_7630861330,7,9,4,13298,Vladimir,MIDDLE,4,1800,0,1.2222222222222223,7.387777777777778,0.0022222222222222222,2,153,Diamond
EUW1_7630808232,5,12,2,11567,Orianna,TOP,13,1925,0,0.5833333333333334,6.008831168831168,0.006753246753246753,0,97,Silver
EUW1_7630338891,14,5,9,16970,Kassadin,MIDDLE,15,2013,1,4.6,8.430203676105316,0.007451564828614009,2,60,Master
EUW1_7630268455,15,6,0,12467,Galio,MIDDLE,2,1479,0,2.5,8.429344151453686,0.001352265043948614,2,36,Platinum
EUW1_7630227944,2,8,4,9011,Vladimir,TOP,8,1507,0,0.75,5.979429329794293,0.0053085600530856005,0,153,Platinum
EUW1_7630170681,11,5,7,11830,Vladimir,TOP,10,1478,1,3.6,8.00405953991881,0.006765899864682003,0,153,Master
EUW1_7630069484,3,8,11,9946,Galio,TOP,11,1796,1,1.75,5.5378619153674835,0.006124721603563474,0,36,Emerald
EUW1_7629981924,2,5,17,10914,Galio,MIDDLE,10,1645,1,3.8,6.634650455927051,0.0060790273556231,2,36,Grandmaster
